"图解标题：20939319"
"#","日期 时间, GMT+08:00","温度, °C (LGR S/N: 20939319, SEN S/N: 20939319)","RH, % (LGR S/N: 20939319, SEN S/N: 20939319)","已连接主机 (LGR S/N: 20939319)","文件结尾 (LGR S/N: 20939319)"
4254,09/02/21 下午05时28分57秒,26.970,52.234,,
4255,09/02/21 下午05时29分57秒,26.995,52.736,,
4256,09/02/21 下午05时30分57秒,26.995,52.839,,
4257,09/02/21 下午05时31分57秒,27.019,53.421,,
4258,09/02/21 下午05时32分57秒,27.044,53.814,,
4259,09/02/21 下午05时33分57秒,27.044,53.765,,
4260,09/02/21 下午05时34分57秒,27.069,53.601,,
4261,09/02/21 下午05时35分57秒,27.069,53.324,,
4262,09/02/21 下午05时36分57秒,27.069,53.018,,
4263,09/02/21 下午05时37分57秒,27.069,53.312,,
4264,09/02/21 下午05时38分57秒,27.069,53.396,,
4265,09/02/21 下午05时39分57秒,27.069,53.468,,
4266,09/02/21 下午05时40分57秒,27.069,53.869,,
4267,09/02/21 下午05时41分57秒,27.093,54.364,,
4268,09/02/21 下午05时42分57秒,27.093,54.659,,
4269,09/02/21 下午05时43分57秒,27.118,55.007,,
4270,09/02/21 下午05时44分57秒,27.142,55.094,,
4271,09/02/21 下午05时45分57秒,27.167,55.088,,
4272,09/02/21 下午05时46分57秒,27.191,55.082,,
4273,09/02/21 下午05时47分57秒,27.216,55.063,,
4274,09/02/21 下午05时48分57秒,27.240,54.871,,
4275,09/02/21 下午05时49分57秒,27.240,54.990,,
4276,09/02/21 下午05时50分57秒,27.265,54.799,,
4277,09/02/21 下午05时51分57秒,27.265,54.851,,
4278,09/02/21 下午05时52分57秒,27.265,54.904,,
4279,09/02/21 下午05时53分57秒,27.290,54.964,,
4280,09/02/21 下午05时54分57秒,27.290,54.898,,
4281,09/02/21 下午05时55分57秒,27.290,55.058,,
4282,09/02/21 下午05时56分57秒,27.314,55.011,,
4283,09/02/21 下午05时57分57秒,27.314,54.998,,
4284,09/02/21 下午05时58分57秒,27.339,55.166,,
4285,09/02/21 下午05时59分57秒,27.339,55.019,,
4286,09/02/21 下午06时00分57秒,27.339,54.676,,
4287,09/02/21 下午06时01分57秒,27.314,54.695,,
4288,09/02/21 下午06时02分57秒,27.339,54.846,,
4289,09/02/21 下午06时03分57秒,27.339,54.952,,
4290,09/02/21 下午06时04分57秒,27.339,54.979,,
4291,09/02/21 下午06时05分57秒,27.339,55.059,,
4292,09/02/21 下午06时06分57秒,27.314,55.011,,
4293,09/02/21 下午06时07分57秒,27.339,55.059,,
4294,09/02/21 下午06时08分57秒,27.339,54.780,,
4295,09/02/21 下午06时09分57秒,27.314,54.998,,
4296,09/02/21 下午06时10分57秒,27.339,55.045,,
4297,09/02/21 下午06时11分57秒,27.314,55.078,,
4298,09/02/21 下午06时12分57秒,27.314,55.376,,
4299,09/02/21 下午06时13分57秒,27.314,55.861,,
4300,09/02/21 下午06时14分57秒,27.339,55.855,,
4301,09/02/21 下午06时15分57秒,27.314,55.960,,
4302,09/02/21 下午06时16分57秒,27.314,56.032,,
4303,09/02/21 下午06时17分57秒,27.314,56.046,,
4304,09/02/21 下午06时18分57秒,27.314,56.003,,
4305,09/02/21 下午06时19分57秒,27.314,55.875,,
4306,09/02/21 下午06时20分57秒,27.314,55.376,,
4307,09/02/21 下午06时21分57秒,27.290,55.071,,
4308,09/02/21 下午06时22分57秒,27.290,55.671,,
4309,09/02/21 下午06时23分57秒,27.290,56.023,,
4310,09/02/21 下午06时24分57秒,27.290,56.282,,
4311,09/02/21 下午06时25分57秒,27.290,56.575,,
4312,09/02/21 下午06时26分57秒,27.290,56.799,,
4313,09/02/21 下午06时27分57秒,27.314,56.914,,
4314,09/02/21 下午06时28分57秒,27.339,57.060,,
4315,09/02/21 下午06时29分57秒,27.339,57.137,,
4316,09/02/21 下午06时30分57秒,27.363,57.208,,
4317,09/02/21 下午06时31分57秒,27.388,57.249,,
4318,09/02/21 下午06时32分57秒,27.388,57.390,,
4319,09/02/21 下午06时33分57秒,27.413,57.368,,
4320,09/02/21 下午06时34分57秒,27.413,57.510,,
4321,09/02/21 下午06时35分57秒,27.413,57.510,,
4322,09/02/21 下午06时36分57秒,27.437,57.315,,
4323,09/02/21 下午06时37分57秒,27.437,57.068,,
4324,09/02/21 下午06时38分57秒,27.462,56.803,,
4325,09/02/21 下午06时39分57秒,27.462,56.743,,
4326,09/02/21 下午06时40分57秒,27.462,56.773,,
4327,09/02/21 下午06时41分57秒,27.462,56.758,,
4328,09/02/21 下午06时42分57秒,27.486,56.767,,
4329,09/02/21 下午06时43分57秒,27.486,56.692,,
4330,09/02/21 下午06时44分57秒,27.486,56.602,,
4331,09/02/21 下午06时45分57秒,27.486,56.220,,
4332,09/02/21 下午06时46分57秒,27.486,55.961,,
4333,09/02/21 下午06时47分57秒,27.486,55.961,,
4334,09/02/21 下午06时48分57秒,27.511,55.998,,
4335,09/02/21 下午06时49分57秒,27.486,56.076,,
4336,09/02/21 下午06时50分57秒,27.511,56.113,,
4337,09/02/21 下午06时51分57秒,27.511,56.258,,
4338,09/02/21 下午06时52分57秒,27.511,56.345,,
4339,09/02/21 下午06时53分57秒,27.511,56.389,,
4340,09/02/21 下午06时54分57秒,27.511,56.492,,
4341,09/02/21 下午06时55分57秒,27.536,56.531,,
4342,09/02/21 下午06时56分57秒,27.536,56.665,,
4343,09/02/21 下午06时57分57秒,27.536,56.785,,
4344,09/02/21 下午06时58分57秒,27.536,56.861,,
4345,09/02/21 下午06时59分57秒,27.536,56.846,,
4346,09/02/21 下午07时00分57秒,27.536,56.922,,
4347,09/02/21 下午07时01分57秒,27.536,57.013,,
4348,09/02/21 下午07时02分57秒,27.536,57.060,,
4349,09/02/21 下午07时03分57秒,27.536,57.090,,
4350,09/02/21 下午07时04分57秒,27.536,57.106,,
4351,09/02/21 下午07时05分57秒,27.536,57.137,,
4352,09/02/21 下午07时06分57秒,27.560,57.177,,
4353,09/02/21 下午07时07分57秒,27.560,57.255,,
4354,09/02/21 下午07时08分57秒,27.560,57.302,,
4355,09/02/21 下午07时09分57秒,27.560,57.349,,
4356,09/02/21 下午07时10分57秒,27.560,57.412,,
4357,09/02/21 下午07时11分57秒,27.560,57.507,,
4358,09/02/21 下午07时12分57秒,27.585,57.501,,
4359,09/02/21 下午07时13分57秒,27.560,57.459,,
4360,09/02/21 下午07时14分57秒,27.560,57.444,,
4361,09/02/21 下午07时15分57秒,27.560,57.412,,
4362,09/02/21 下午07时16分57秒,27.560,57.444,,
4363,09/02/21 下午07时17分57秒,27.560,57.523,,
4364,09/02/21 下午07时18分57秒,27.560,57.555,,
4365,09/02/21 下午07时19分57秒,27.585,57.549,,
4366,09/02/21 下午07时20分57秒,27.585,57.742,,
4367,09/02/21 下午07时21分57秒,27.585,57.790,,
4368,09/02/21 下午07时22分57秒,27.585,57.806,,
4369,09/02/21 下午07时23分57秒,27.585,57.871,,
4370,09/02/21 下午07时24分57秒,27.585,58.135,,
4371,09/02/21 下午07时25分57秒,27.585,58.168,,
4372,09/02/21 下午07时26分57秒,27.585,58.335,,
4373,09/02/21 下午07时27分57秒,27.585,58.539,,
4374,09/02/21 下午07时28分57秒,27.609,58.740,,
4375,09/02/21 下午07时29分57秒,27.609,58.740,,
4376,09/02/21 下午07时30分57秒,27.609,58.844,,
4377,09/02/21 下午07时31分57秒,27.609,58.775,,
4378,09/02/21 下午07时32分57秒,27.609,58.757,,
4379,09/02/21 下午07时33分57秒,27.609,58.723,,
4380,09/02/21 下午07时34分57秒,27.609,58.653,,
4381,09/02/21 下午07时35分57秒,27.609,58.810,,
4382,09/02/21 下午07时36分57秒,27.609,58.932,,
4383,09/02/21 下午07时37分57秒,27.609,59.003,,
4384,09/02/21 下午07时38分57秒,27.609,59.145,,
4385,09/02/21 下午07时39分57秒,27.585,59.150,,
4386,09/02/21 下午07时40分57秒,27.585,59.186,,
4387,09/02/21 下午07时41分57秒,27.585,59.132,,
4388,09/02/21 下午07时42分57秒,27.585,59.168,,
4389,09/02/21 下午07时43分57秒,27.585,59.186,,
4390,09/02/21 下午07时44分57秒,27.585,59.222,,
4391,09/02/21 下午07时45分57秒,27.585,59.186,,
4392,09/02/21 下午07时46分57秒,27.585,59.312,,
4393,09/02/21 下午07时47分57秒,27.560,59.408,,
4394,09/02/21 下午07时48分57秒,27.560,59.445,,
4395,09/02/21 下午07时49分57秒,27.560,59.372,,
4396,09/02/21 下午07时50分57秒,27.560,59.210,,
4397,09/02/21 下午07时51分57秒,27.536,59.126,,
4398,09/02/21 下午07时52分57秒,27.536,59.090,,
4399,09/02/21 下午07时53分57秒,27.511,59.131,,
4400,09/02/21 下午07时54分57秒,27.511,59.131,,
4401,09/02/21 下午07时55分57秒,27.511,59.257,,
4402,09/02/21 下午07时56分57秒,27.511,59.456,,
4403,09/02/21 下午07时57分57秒,27.486,59.498,,
4404,09/02/21 下午07时58分57秒,27.486,59.589,,
4405,09/02/21 下午07时59分57秒,27.486,59.534,,
4406,09/02/21 下午08时00分57秒,27.486,58.890,,
4407,09/02/21 下午08时01分57秒,27.462,58.465,,
4408,09/02/21 下午08时02分57秒,27.462,58.397,,
4409,09/02/21 下午08时03分57秒,27.437,58.336,,
4410,09/02/21 下午08时04分57秒,27.437,58.219,,
4411,09/02/21 下午08时05分57秒,27.437,58.119,,
4412,09/02/21 下午08时06分57秒,27.413,58.108,,
4413,09/02/21 下午08时07分57秒,27.413,58.208,,
4414,09/02/21 下午08时08分57秒,27.413,58.224,,
4415,09/02/21 下午08时09分57秒,27.388,58.048,,
4416,09/02/21 下午08时10分57秒,27.388,57.739,,
4417,09/02/21 下午08时11分57秒,27.388,57.627,,
4418,09/02/21 下午08时12分57秒,27.363,57.665,,
4419,09/02/21 下午08时13分57秒,27.363,57.809,,
4420,09/02/21 下午08时14分57秒,27.363,57.665,,
4421,09/02/21 下午08时15分57秒,27.363,57.364,,
4422,09/02/21 下午08时16分57秒,27.363,57.411,,
4423,09/02/21 下午08时17分57秒,27.339,57.448,,
4424,09/02/21 下午08时18分57秒,27.339,57.276,,
4425,09/02/21 下午08时19分57秒,27.339,57.060,,
4426,09/02/21 下午08时20分57秒,27.339,56.908,,
4427,09/02/21 下午08时21分57秒,27.339,56.742,,
4428,09/02/21 下午08时22分57秒,27.339,56.549,,
4429,09/02/21 下午08时23分57秒,27.339,56.083,,
4430,09/02/21 下午08时24分57秒,27.339,55.997,,
4431,09/02/21 下午08时25分57秒,27.314,56.046,,
4432,09/02/21 下午08时26分57秒,27.314,56.117,,
4433,09/02/21 下午08时27分57秒,27.314,56.117,,
4434,09/02/21 下午08时28分57秒,27.314,56.161,,
4435,09/02/21 下午08时29分57秒,27.314,56.161,,
4436,09/02/21 下午08时30分57秒,27.314,56.132,,
4437,09/02/21 下午08时31分57秒,27.290,56.123,,
4438,09/02/21 下午08时32分57秒,27.314,56.046,,
4439,09/02/21 下午08时33分57秒,27.290,55.981,,
4440,09/02/21 下午08时34分57秒,27.290,55.981,,
4441,09/02/21 下午08时35分57秒,27.290,56.009,,
4442,09/02/21 下午08时36分57秒,27.290,56.095,,
4443,09/02/21 下午08时37分57秒,27.290,56.195,,
4444,09/02/21 下午08时38分57秒,27.290,56.282,,
4445,09/02/21 下午08时39分57秒,27.290,56.413,,
4446,09/02/21 下午08时40分57秒,27.290,56.531,,
4447,09/02/21 下午08时41分57秒,27.314,56.643,,
4448,09/02/21 下午08时42分57秒,27.314,56.718,,
4449,09/02/21 下午08时43分57秒,27.314,56.718,,
4450,09/02/21 下午08时44分57秒,27.314,56.673,,
4451,09/02/21 下午08时45分57秒,27.314,56.688,,
4452,09/02/21 下午08时46分57秒,27.339,56.652,,
4453,09/02/21 下午08时47分57秒,27.339,56.652,,
4454,09/02/21 下午08时48分57秒,27.339,56.697,,
4455,09/02/21 下午08时49分57秒,27.339,56.727,,
4456,09/02/21 下午08时50分57秒,27.339,56.772,,
4457,09/02/21 下午08时51分57秒,27.339,56.832,,
4458,09/02/21 下午08时52分57秒,27.339,56.878,,
4459,09/02/21 下午08时53分57秒,27.363,56.842,,
4460,09/02/21 下午08时54分57秒,27.363,56.676,,
4461,09/02/21 下午08时55分57秒,27.363,56.557,,
4462,09/02/21 下午08时56分57秒,27.363,56.484,,
4463,09/02/21 下午08时57分57秒,27.363,56.469,,
4464,09/02/21 下午08时58分57秒,27.339,56.563,,
4465,09/02/21 下午08时59分57秒,27.339,56.578,,
4466,09/02/21 下午09时00分57秒,27.339,56.578,,
4467,09/02/21 下午09时01分57秒,27.339,56.608,,
4468,09/02/21 下午09时02分57秒,27.339,56.638,,
4469,09/02/21 下午09时03分57秒,27.363,56.751,,
4470,09/02/21 下午09时04分57秒,27.363,56.751,,
4471,09/02/21 下午09时05分57秒,27.363,56.691,,
4472,09/02/21 下午09时06分57秒,27.339,56.682,,
4473,09/02/21 下午09时07分57秒,27.363,56.691,,
4474,09/02/21 下午09时08分57秒,27.363,56.706,,
4475,09/02/21 下午09时09分57秒,27.363,56.706,,
4476,09/02/21 下午09时10分57秒,27.363,56.766,,
4477,09/02/21 下午09时11分57秒,27.363,56.826,,
4478,09/02/21 下午09时12分57秒,27.363,56.811,,
4479,09/02/21 下午09时13分57秒,27.363,56.766,,
4480,09/02/21 下午09时14分57秒,27.388,56.715,,
4481,09/02/21 下午09时15分57秒,27.388,56.685,,
4482,09/02/21 下午09时16分57秒,27.388,56.626,,
4483,09/02/21 下午09时17分57秒,27.363,56.513,,
4484,09/02/21 下午09时18分57秒,27.363,56.410,,
4485,09/02/21 下午09时19分57秒,27.388,56.317,,
4486,09/02/21 下午09时20分57秒,27.388,56.302,,
4487,09/02/21 下午09时21分57秒,27.388,56.317,,
4488,09/02/21 下午09时22分57秒,27.363,56.322,,
4489,09/02/21 下午09时23分57秒,27.363,56.308,,
4490,09/02/21 下午09时24分57秒,27.363,56.264,,
4491,09/02/21 下午09时25分57秒,27.388,56.244,,
4492,09/02/21 下午09时26分57秒,27.388,56.258,,
4493,09/02/21 下午09时27分57秒,27.363,56.293,,
4494,09/02/21 下午09时28分57秒,27.388,56.331,,
4495,09/02/21 下午09时29分57秒,27.388,56.360,,
4496,09/02/21 下午09时30分57秒,27.388,56.434,,
4497,09/02/21 下午09时31分57秒,27.388,56.478,,
4498,09/02/21 下午09时32分57秒,27.388,56.730,,
4499,09/02/21 下午09时33分57秒,27.388,56.866,,
4500,09/02/21 下午09时34分57秒,27.413,56.860,,
4501,09/02/21 下午09时35分57秒,27.388,56.851,,
4502,09/02/21 下午09时36分57秒,27.413,56.815,,
4503,09/02/21 下午09时37分57秒,27.413,56.845,,
4504,09/02/21 下午09时38分57秒,27.413,57.073,,
4505,09/02/21 下午09时39分57秒,27.413,56.982,,
4506,09/02/21 下午09时40分57秒,27.413,56.769,,
4507,09/02/21 下午09时41分57秒,27.413,56.665,,
4508,09/02/21 下午09时42分57秒,27.413,56.501,,
4509,09/02/21 下午09时43分57秒,27.413,56.457,,
4510,09/02/21 下午09时44分57秒,27.413,56.516,,
4511,09/02/21 下午09时45分57秒,27.437,56.569,,
4512,09/02/21 下午09时46分57秒,27.437,56.555,,
4513,09/02/21 下午09时47分57秒,27.437,56.451,,
4514,09/02/21 下午09时48分57秒,27.437,56.348,,
4515,09/02/21 下午09时49分57秒,27.437,56.275,,
4516,09/02/21 下午09时50分57秒,27.437,56.290,,
4517,09/02/21 下午09时51分57秒,27.437,56.232,,
4518,09/02/21 下午09时52分57秒,27.437,56.246,,
4519,09/02/21 下午09时53分57秒,27.437,56.275,,
4520,09/02/21 下午09时54分57秒,27.413,56.209,,
4521,09/02/21 下午09时55分57秒,27.437,56.160,,
4522,09/02/21 下午09时56分57秒,27.413,56.022,,
4523,09/02/21 下午09时57分57秒,27.437,56.016,,
4524,09/02/21 下午09时58分57秒,27.413,56.108,,
4525,09/02/21 下午09时59分57秒,27.437,56.246,,
4526,09/02/21 下午10时00分57秒,27.413,56.354,,
4527,09/02/21 下午10时01分57秒,27.437,56.378,,
4528,09/02/21 下午10时02分57秒,27.437,56.392,,
4529,09/02/21 下午10时03分57秒,27.437,56.363,,
4530,09/02/21 下午10时04分57秒,27.413,56.122,,
4531,09/02/21 下午10时05分57秒,27.413,56.036,,
4532,09/02/21 下午10时06分57秒,27.413,55.965,,
4533,09/02/21 下午10时07分57秒,27.413,55.922,,
4534,09/02/21 下午10时08分57秒,27.413,55.936,,
4535,09/02/21 下午10时09分57秒,27.388,55.971,,
4536,09/02/21 下午10时10分57秒,27.388,55.957,,
4537,09/02/21 下午10时11分57秒,27.388,56.014,,
4538,09/02/21 下午10时12分57秒,27.388,56.042,,
4539,09/02/21 下午10时13分57秒,27.388,56.215,,
4540,09/02/21 下午10时14分57秒,27.363,56.439,,
4541,09/02/21 下午10时15分57秒,27.363,56.632,,
4542,09/02/21 下午10时16分57秒,27.388,56.775,,
4543,09/02/21 下午10时17分57秒,27.388,56.896,,
4544,09/02/21 下午10时18分57秒,27.363,56.963,,
4545,09/02/21 下午10时19分57秒,27.388,57.033,,
4546,09/02/21 下午10时20分57秒,27.388,57.110,,
4547,09/02/21 下午10时21分57秒,27.388,57.187,,
4548,09/02/21 下午10时22分57秒,27.388,57.218,,
4549,09/02/21 下午10时23分57秒,27.388,57.249,,
4550,09/02/21 下午10时24分57秒,27.388,57.280,,
4551,09/02/21 下午10时25分57秒,27.388,57.296,,
4552,09/02/21 下午10时26分57秒,27.388,57.311,,
4553,09/02/21 下午10时27分57秒,27.388,57.280,,
4554,09/02/21 下午10时28分57秒,27.388,57.296,,
4555,09/02/21 下午10时29分57秒,27.388,57.311,,
4556,09/02/21 下午10时30分57秒,27.388,57.343,,
4557,09/02/21 下午10时31分57秒,27.413,57.353,,
4558,09/02/21 下午10时32分57秒,27.413,57.368,,
4559,09/02/21 下午10时33分57秒,27.413,57.400,,
4560,09/02/21 下午10时34分57秒,27.413,57.431,,
4561,09/02/21 下午10时35分57秒,27.413,57.447,,
4562,09/02/21 下午10时36分57秒,27.413,57.494,,
4563,09/02/21 下午10时37分57秒,27.388,57.548,,
4564,09/02/21 下午10时38分57秒,27.413,57.574,,
4565,09/02/21 下午10时39分57秒,27.413,57.589,,
4566,09/02/21 下午10时40分57秒,27.413,57.621,,
4567,09/02/21 下午10时41分57秒,27.413,57.637,,
4568,09/02/21 下午10时42分57秒,27.413,57.669,,
4569,09/02/21 下午10时43分57秒,27.413,57.701,,
4570,09/02/21 下午10时44分57秒,27.413,57.685,,
4571,09/02/21 下午10时45分57秒,27.413,57.685,,
4572,09/02/21 下午10时46分57秒,27.413,57.701,,
4573,09/02/21 下午10时47分57秒,27.413,57.701,,
4574,09/02/21 下午10时48分57秒,27.413,57.750,,
4575,09/02/21 下午10时49分57秒,27.413,57.782,,
4576,09/02/21 下午10时50分57秒,27.413,57.830,,
4577,09/02/21 下午10时51分57秒,27.413,57.846,,
4578,09/02/21 下午10时52分57秒,27.413,57.846,,
4579,09/02/21 下午10时53分57秒,27.413,57.846,,
4580,09/02/21 下午10时54分57秒,27.413,57.846,,
4581,09/02/21 下午10时55分57秒,27.413,57.846,,
4582,09/02/21 下午10时56分57秒,27.413,57.846,,
4583,09/02/21 下午10时57分57秒,27.413,57.879,,
4584,09/02/21 下午10时58分57秒,27.413,57.895,,
4585,09/02/21 下午10时59分57秒,27.413,57.944,,
4586,09/02/21 下午11时00分57秒,27.413,57.960,,
4587,09/02/21 下午11时01分57秒,27.413,57.960,,
4588,09/02/21 下午11时02分57秒,27.413,57.960,,
4589,09/02/21 下午11时03分57秒,27.413,57.993,,
4590,09/02/21 下午11时04分57秒,27.413,58.010,,
4591,09/02/21 下午11时05分57秒,27.413,58.026,,
4592,09/02/21 下午11时06分57秒,27.413,58.010,,
4593,09/02/21 下午11时07分57秒,27.413,58.026,,
4594,09/02/21 下午11时08分57秒,27.413,58.042,,
4595,09/02/21 下午11时09分57秒,27.413,58.059,,
4596,09/02/21 下午11时10分57秒,27.413,58.042,,
4597,09/02/21 下午11时11分57秒,27.413,58.059,,
4598,09/02/21 下午11时12分57秒,27.413,58.059,,
4599,09/02/21 下午11时13分57秒,27.413,58.026,,
4600,09/02/21 下午11时14分57秒,27.413,58.026,,
4601,09/02/21 下午11时15分57秒,27.413,58.042,,
4602,09/02/21 下午11时16分57秒,27.413,58.059,,
4603,09/02/21 下午11时17分57秒,27.413,58.075,,
4604,09/02/21 下午11时18分57秒,27.413,58.075,,
4605,09/02/21 下午11时19分57秒,27.413,58.092,,
4606,09/02/21 下午11时20分57秒,27.413,58.092,,
4607,09/02/21 下午11时21分57秒,27.413,58.108,,
4608,09/02/21 下午11时22分57秒,27.413,58.125,,
4609,09/02/21 下午11时23分57秒,27.413,58.141,,
4610,09/02/21 下午11时24分57秒,27.413,58.141,,
4611,09/02/21 下午11时25分57秒,27.413,58.158,,
4612,09/02/21 下午11时26分57秒,27.413,58.158,,
4613,09/02/21 下午11时27分57秒,27.413,58.158,,
4614,09/02/21 下午11时28分57秒,27.413,58.141,,
4615,09/02/21 下午11时29分57秒,27.413,58.174,,
4616,09/02/21 下午11时30分57秒,27.413,58.158,,
4617,09/02/21 下午11时31分57秒,27.413,58.158,,
4618,09/02/21 下午11时32分57秒,27.413,58.158,,
4619,09/02/21 下午11时33分57秒,27.413,58.174,,
4620,09/02/21 下午11时34分57秒,27.413,58.191,,
4621,09/02/21 下午11时35分57秒,27.413,58.241,,
4622,09/02/21 下午11时36分57秒,27.413,58.258,,
4623,09/02/21 下午11时37分57秒,27.413,58.258,,
4624,09/02/21 下午11时38分57秒,27.413,58.274,,
4625,09/02/21 下午11时39分57秒,27.413,58.308,,
4626,09/02/21 下午11时40分57秒,27.413,58.325,,
4627,09/02/21 下午11时41分57秒,27.413,58.341,,
4628,09/02/21 下午11时42分57秒,27.413,58.341,,
4629,09/02/21 下午11时43分57秒,27.413,58.341,,
4630,09/02/21 下午11时44分57秒,27.413,58.358,,
4631,09/02/21 下午11时45分57秒,27.413,58.375,,
4632,09/02/21 下午11时46分57秒,27.413,58.392,,
4633,09/02/21 下午11时47分57秒,27.413,58.409,,
4634,09/02/21 下午11时48分57秒,27.413,58.459,,
4635,09/02/21 下午11时49分57秒,27.413,58.476,,
4636,09/02/21 下午11时50分57秒,27.413,58.476,,
4637,09/02/21 下午11时51分57秒,27.413,58.510,,
4638,09/02/21 下午11时52分57秒,27.413,58.510,,
4639,09/02/21 下午11时53分57秒,27.413,58.510,,
4640,09/02/21 下午11时54分57秒,27.413,58.510,,
4641,09/02/21 下午11时55分57秒,27.413,58.527,,
4642,09/02/21 下午11时56分57秒,27.413,58.527,,
4643,09/02/21 下午11时57分57秒,27.413,58.544,,
4644,09/02/21 下午11时58分57秒,27.413,58.561,,
4645,09/02/21 下午11时59分57秒,27.413,58.578,,
4646,09/03/21 上午12时00分57秒,27.413,58.578,,
4647,09/03/21 上午12时01分57秒,27.413,58.578,,
4648,09/03/21 上午12时02分57秒,27.413,58.578,,
4649,09/03/21 上午12时03分57秒,27.413,58.561,,
4650,09/03/21 上午12时04分57秒,27.413,58.544,,
4651,09/03/21 上午12时05分57秒,27.413,58.544,,
4652,09/03/21 上午12时06分57秒,27.413,58.544,,
4653,09/03/21 上午12时07分57秒,27.413,58.561,,
4654,09/03/21 上午12时08分57秒,27.413,58.578,,
4655,09/03/21 上午12时09分57秒,27.413,58.561,,
4656,09/03/21 上午12时10分57秒,27.413,58.561,,
4657,09/03/21 上午12时11分57秒,27.413,58.561,,
4658,09/03/21 上午12时12分57秒,27.413,58.561,,
4659,09/03/21 上午12时13分57秒,27.413,58.578,,
4660,09/03/21 上午12时14分57秒,27.413,58.613,,
4661,09/03/21 上午12时15分57秒,27.413,58.613,,
4662,09/03/21 上午12时16分57秒,27.413,58.630,,
4663,09/03/21 上午12时17分57秒,27.413,58.647,,
4664,09/03/21 上午12时18分57秒,27.388,58.687,,
4665,09/03/21 上午12时19分57秒,27.388,58.704,,
4666,09/03/21 上午12时20分57秒,27.413,58.733,,
4667,09/03/21 上午12时21分57秒,27.413,58.733,,
4668,09/03/21 上午12时22分57秒,27.413,58.733,,
4669,09/03/21 上午12时23分57秒,27.388,58.739,,
4670,09/03/21 上午12时24分57秒,27.413,58.733,,
4671,09/03/21 上午12时25分57秒,27.388,58.756,,
4672,09/03/21 上午12时26分57秒,27.388,58.756,,
4673,09/03/21 上午12时27分57秒,27.413,58.767,,
4674,09/03/21 上午12时28分57秒,27.388,58.808,,
4675,09/03/21 上午12时29分57秒,27.388,58.825,,
4676,09/03/21 上午12时30分57秒,27.388,58.842,,
4677,09/03/21 上午12时31分57秒,27.388,58.842,,
4678,09/03/21 上午12时32分57秒,27.413,58.819,,
4679,09/03/21 上午12时33分57秒,27.388,58.842,,
4680,09/03/21 上午12时34分57秒,27.388,58.877,,
4681,09/03/21 上午12时35分57秒,27.388,58.877,,
4682,09/03/21 上午12时36分57秒,27.388,58.895,,
4683,09/03/21 上午12时37分57秒,27.388,58.895,,
4684,09/03/21 上午12时38分57秒,27.388,58.912,,
4685,09/03/21 上午12时39分57秒,27.388,58.912,,
4686,09/03/21 上午12时40分57秒,27.388,58.912,,
4687,09/03/21 上午12时41分57秒,27.388,58.930,,
4688,09/03/21 上午12时42分57秒,27.388,58.947,,
4689,09/03/21 上午12时43分57秒,27.388,58.912,,
4690,09/03/21 上午12时44分57秒,27.388,58.930,,
4691,09/03/21 上午12时45分57秒,27.388,58.947,,
4692,09/03/21 上午12时46分57秒,27.388,58.965,,
4693,09/03/21 上午12时47分57秒,27.388,58.965,,
4694,09/03/21 上午12时48分57秒,27.388,58.947,,
4695,09/03/21 上午12时49分57秒,27.388,58.947,,
4696,09/03/21 上午12时50分57秒,27.388,58.930,,
4697,09/03/21 上午12时51分57秒,27.388,58.930,,
4698,09/03/21 上午12时52分57秒,27.388,58.947,,
4699,09/03/21 上午12时53分57秒,27.388,58.947,,
4700,09/03/21 上午12时54分57秒,27.388,58.930,,
4701,09/03/21 上午12时55分57秒,27.388,58.947,,
4702,09/03/21 上午12时56分57秒,27.388,58.965,,
4703,09/03/21 上午12时57分57秒,27.388,58.947,,
4704,09/03/21 上午12时58分57秒,27.388,58.965,,
4705,09/03/21 上午12时59分57秒,27.388,58.965,,
4706,09/03/21 上午01时00分57秒,27.388,58.982,,
4707,09/03/21 上午01时01分57秒,27.388,58.982,,
4708,09/03/21 上午01时02分57秒,27.388,58.982,,
4709,09/03/21 上午01时03分57秒,27.388,58.982,,
4710,09/03/21 上午01时04分57秒,27.388,59.000,,
4711,09/03/21 上午01时05分57秒,27.388,59.017,,
4712,09/03/21 上午01时06分57秒,27.388,59.017,,
4713,09/03/21 上午01时07分57秒,27.388,59.035,,
4714,09/03/21 上午01时08分57秒,27.388,59.035,,
4715,09/03/21 上午01时09分57秒,27.388,59.053,,
4716,09/03/21 上午01时10分57秒,27.388,59.070,,
4717,09/03/21 上午01时11分57秒,27.388,59.070,,
4718,09/03/21 上午01时12分57秒,27.388,59.088,,
4719,09/03/21 上午01时13分57秒,27.388,59.106,,
4720,09/03/21 上午01时14分57秒,27.363,59.147,,
4721,09/03/21 上午01时15分57秒,27.388,59.141,,
4722,09/03/21 上午01时16分57秒,27.388,59.159,,
4723,09/03/21 上午01时17分57秒,27.363,59.182,,
4724,09/03/21 上午01时18分57秒,27.388,59.177,,
4725,09/03/21 上午01时19分57秒,27.388,59.177,,
4726,09/03/21 上午01时20分57秒,27.363,59.182,,
4727,09/03/21 上午01时21分57秒,27.388,59.177,,
4728,09/03/21 上午01时22分57秒,27.388,59.195,,
4729,09/03/21 上午01时23分57秒,27.388,59.213,,
4730,09/03/21 上午01时24分57秒,27.363,59.236,,
4731,09/03/21 上午01时25分57秒,27.363,59.236,,
